阿旗220千伏输变电站建设工程建筑面积为38487平方米监管中心迁建项目52655651,总投资1720万元电力改迁工程,http://www.qianlima.com/zb/detail/20170317_52655651.html,三门峡,商业,设计阶段,公用事业设施,不装修,1720万,2017-05-18
29533722,110kV线路迁改丽泽商务区南区工程,http://www.qianlima.com/zb/detail/20151113_29533722.html,北京,商业,施工准备,公用事业设施,不装修,未确定,2017-02-15
52560465,总建筑面积为40000平方米火炬城建香晖翠园综合发展建设项目,http://www.qianlima.com/zb/detail/20170316_52560465.html,中山,商业,设计阶段,住宅,商业及零售,精装修,7100万,2017-05-10
40298808,总建筑面积为90440平方米第二人民医院建设项目,http://www.qianlima.com/zb/detail/20160804_40298808.html,毕节,政府,设计阶段,医疗,精装修,40000万,2017-05-04
51221407,总建筑面积为26000平方米中医院整体搬迁新建一期工程(二级 甲等 )（EPC）,http://www.qianlima.com/zb/detail/20170220_51221407.html,新余,政府,立项,酒店与餐饮,医疗,精装修,8000万,2017-02-21
19904108,全长3600米大道新建工程,http://www.qianlima.com/zb/detail/20150116_19904108.html,广东,政府,施工准备,基础建设,未确定,未确定,2017-04-01
51557964,总建筑面积为239677平方米碧桂园首府（一期）住宅发展建设工程,http://www.qianlima.com/zb/detail/20170227_51557964.html,秦皇岛,商业,施工在建,住宅,精装修,80000万,2017-03-03
11591370,总库容1.33亿m3水库工程,http://www.qianlima.com/zb/detail/20131210_11591370.html,郴州,政府,设计阶段,基础建设,不装修,未确定,2017-03-13
20558167,集中供热热网工程,http://www.qianlima.com/zb/detail/20150212_20558167.html,大庆,商业,施工在建,公用事业设施,未确定,未确定,2017-03-09
52405877,总建筑面积约为30000平方米物流中心仓库建设项目,http://www.qianlima.com/zb/detail/20170314_52405877.html,嘉兴,商业,施工准备,商业及零售,不装修,8000万,2017-03-17
51856731,总建筑面积约166000平方米棚户区改造工程,http://www.qianlima.com/zb/detail/20170303_51856731.html,台州,政府,设计阶段,住宅,商业及零售,简装修,50000万,2017-03-07
41497080,总建筑面积为317923平方米住宅楼工程,http://www.qianlima.com/zb/detail/20160829_41497080.html,荆州,政府,施工在建,住宅,未确定,65000万,2017-03-27
55961239,建筑面积约19732平方米剧场装修项目,http://www.qianlima.com/zb/detail/20170511_55961239.html,六安,政府,立项,休闲娱乐,精装修,5000万,2017-05-12
55273505,总建筑面积246167平方米海沧新阳居住区保障性安居工程二期项目A2地块住宅发展建设项目,http://www.qianlima.com/zb/detail/20170502_55273505.html,厦门,政府,立项,住宅,商业及零售,社区,交通,简装修,28000万,2017-05-10
52596635,罗福沟4.8万千瓦风电项目,http://www.qianlima.com/zb/detail/20170317_52596635.html,朝阳,商业,立项,公用事业设施,不装修,50000万,2017-03-17
19978692,总建筑面积138915平方米棚户区改造二期工程,http://www.qianlima.com/zb/detail/20150120_19978692.html,山西,商业,施工在建,住宅,简装修,38690万,2017-05-10
32108245,建筑面积11679平方米住宅楼建设工程,http://www.qianlima.com/zb/detail/20160112_32108245.html,天津,商业,施工准备,住宅,简装修,1600万,2017-03-14
55850804,总建筑面积约为25000平方米住院楼建设项目,http://www.qianlima.com/zb/detail/20170510_55850804.html,黔南布依族苗族自治州,政府,立项,医疗,精装修,4500万,2017-05-11
52167472,总建筑面积为433516平方米商业住宅建设工程,http://www.qianlima.com/zb/detail/20170309_52167472.html,金华,商业,施工在建,住宅,办公楼,商业及零售,简装修,未确定,2017-03-10
56487884,220千伏东坡至康乐第二回网架完善工程,http://www.qianlima.com/zb/detail/20170518_56487884.html,佛山,政府,立项,公用事业设施,不装修,3000万,2017-05-19
55393804,S1线文山—砚山城际铁路建设项目(PPP),http://www.qianlima.com/zb/detail/20170503_55393804.html,文山壮族苗族自治州,政府,立项,交通,基础建设,公用事业设施,不装修,400000万,2017-05-04
52895721,厂房建设项目,http://www.qianlima.com/zb/detail/20170322_52895721.html,漳州,商业,立项,开采,不装修,900万,2017-03-23
50265717,总建筑面积为9700平方米人民法院审判法庭建设项目,http://www.qianlima.com/zb/detail/20170119_50265717.html,本溪,政府,施工在建,司法,精装修,2100万,2017-02-03
17116864,投资1800万元地下停车和环境绿化配套设施工程,http://www.qianlima.com/zb/detail/20140928_17116864.html,无锡,商业,施工在建,交通,未确定,1800万,2017-02-24
56265525,总建筑面积为18000平方米办公楼建设工程EPC,http://www.qianlima.com/zb/detail/20170516_56265525.html,温州,商业,施工准备,办公楼,不装修,5000万,2017-05-22
48197600,总建筑面积约为50800平方米度假区建设工程,http://www.qianlima.com/zb/detail/20161214_48197600.html,贵阳,商业,施工准备,酒店与餐饮,休闲娱乐,不装修,10000万,2017-01-16
40974319,装修面积为6700平方米幼儿园综合装修项目,http://www.qianlima.com/zb/detail/20160818_40974319.html,北京,商业,施工在建,社区,精装修,800万,2017-01-03
51006231,建筑面积约为19820平方米综合服务中心1号楼建设项目,http://www.qianlima.com/zb/detail/20170215_51006231.html,甘南藏族自治州,政府,立项,办公楼,不装修,5000万,2017-02-16
49764713,总建筑面积31628平方米临港技术开发区化工产业孵化器办公楼建设项目,http://www.qianlima.com/zb/detail/20170110_49764713.html,沧州,商业,立项,办公楼,精装修,6000万,2017-01-12
26094920,总建筑面积为140000平方米办公,商业,配建珠三角城际轨道交通调度指挥中心工程,http://www.qianlima.com/zb/detail/20150819_26094920.html,广州,商业,施工准备,办公楼,不装修,16000万,2017-02-23
55856719,安宁工业园区钢铁及配套产业片区东区基础配套设施建设项目,http://www.qianlima.com/zb/detail/20170510_55856719.html,兰州,政府,立项,基础建设,不装修,126500万,2017-05-18
38925753,总建筑面积为51240平方米易地扶贫搬迁建设工程,http://www.qianlima.com/zb/detail/20160707_38925753.html,毕节,政府,施工在建,住宅,简装修,7600万,2017-01-20
52331632,总建筑面积为13000平方米海宁国际装备产业园贝伦新建厂房建设项目,http://www.qianlima.com/zb/detail/20170313_52331632.html,嘉兴,政府,立项,办公楼,工业,教育及研究,不装修,2800万,2017-03-16
47233402,总建筑面积为26114平方米门诊楼和住院楼改造项目(三级 甲等),http://www.qianlima.com/zb/detail/20161201_47233402.html,武汉,政府,施工在建,医疗,精装修,6700万,2017-04-27
